Date,Open,High,Low,Close,Adj Close,Volume,Returns,1M_Vol,2D_Vol,Intraday_Vol,Vol_Regime,Variance_Ratio,Trend_Regime,PnL,Cumulative_PnL,Hedge_Action
2020-02-03,220.13999938964844,222.88999938964844,219.99000549316406,222.3800048828125,216.01817321777344,25408600,0.015109368483910535,0.14766898044939752,0.3476084242013744,0.07424630945725766,High Volatility,0.5027887998637602,High Trend,0.0,0.0,False
2020-02-04,225.4199981689453,227.86000061035156,224.64999389648438,227.47000122070312,220.9625244140625,30691200,0.022888589060072073,0.1600267144914744,0.08732153439641596,0.07528943161163361,Low Volatility,0.47048039354482113,High Trend,4.9443511962890625,4.9443511962890625,True
2020-02-05,230.2100067138672,230.25,226.85000610351562,228.22000122070312,221.69107055664062,38534800,0.0032971479870174125,0.15952411883844084,0.2199133806256241,0.07469010119396143,Low Volatility,0.46820569665458767,High Trend,0.0,4.9443511962890625,False
2020-02-06,228.7899932861328,230.25,227.97999572753906,230.19000244140625,223.604736328125,22467100,0.008632128333718514,0.1604002846786237,0.05988500586758393,0.07278224514432491,Low Volatility,0.45375384021387893,High Trend,1.913665771484375,6.8580169677734375,True
2020-02-07,229.16000366210938,230.44000244140625,228.5399932861328,229.1999969482422,222.64305114746094,25884900,-0.004300826522980472,0.16160066989713123,0.14517205821714504,0.07253519151473858,Low Volatility,0.44885452245285673,High Trend,0.0,6.8580169677734375,False
2020-02-10,228.44000244140625,231.97999572753906,228.3800048828125,231.97000122070312,225.3338165283203,21478900,0.012085557429219795,0.1637184969025612,0.18393670367179232,0.07374784875679231,Low Volatility,0.45045520299813235,High Trend,0.0,6.8580169677734375,False
2020-02-11,233.25,234.02000427246094,231.39999389648438,232.00999450683594,225.3726806640625,30198000,0.00017247360534233813,0.162864670437951,0.1337240342666047,0.07311983281765609,Low Volatility,0.4489606777273015,High Trend,0.0,6.8580169677734375,False
2020-02-12,233.3800048828125,234.3800048828125,232.8000030517578,234.27000427246094,227.56800842285156,24471300,0.009740877875350717,0.16178351576030525,0.10740507154954852,0.07437493987927052,Low Volatility,0.4597188998504812,High Trend,2.1953277587890625,9.0533447265625,True
2020-02-13,232.63999938964844,234.92999267578125,232.36000061035156,233.97000122070312,227.27659606933594,22773200,-0.0012805506166496672,0.16063858693542069,0.12371522798968207,0.07266886335544534,Low Volatility,0.45237489162338934,High Trend,0.0,9.0533447265625,False
2020-02-14,234.33999633789062,234.86000061035156,233.5500030517578,234.63999938964844,227.92739868164062,23438500,0.0028634827499183224,0.16037078897453086,0.046516659171170406,0.07444391948433289,Low Volatility,0.4641987481657625,High Trend,0.0,9.0533447265625,False
2020-02-18,233.5,235.1699981689453,233.25,234.72999572753906,228.01483154296875,24394500,0.0003835996103753736,0.1588321697182254,0.027836619202221084,0.07361873565331568,Low Volatility,0.4635001573290742,High Trend,0.0,9.0533447265625,False
2020-02-19,236.1300048828125,237.47000122070312,235.85000610351562,236.97999572753906,230.200439453125,22230500,0.00958537607122456,0.1604826361404523,0.10328968459853681,0.07332024876342562,Low Volatility,0.45687340715949293,High Trend,2.18560791015625,11.23895263671875,True
2020-02-20,236.4600067138672,236.9499969482422,231.8800048828125,234.77999877929688,228.0634307861328,42604000,-0.009283251900252476,0.165618562727452,0.2117998236832994,0.07837960980829692,Low Volatility,0.4732537737166653,High Trend,0.0,11.23895263671875,False
2020-02-21,233.61000061035156,234.00999450683594,229.32000732421875,230.27000427246094,223.68243408203125,66017200,-0.019209553627253184,0.18180092561917974,0.11142246054053741,0.08110928998258589,Low Volatility,0.44614343797394274,High Trend,-4.3809967041015625,6.8579559326171875,True
2020-02-24,221.67999267578125,224.25,220.25999450683594,221.38999938964844,215.05648803710938,84522600,-0.03856335916730269,0.22823616518593143,0.217245928383338,0.08193925649478515,Low Volatility,0.35901083611369716,High Trend,-8.625946044921875,-1.7679901123046875,True
2020-02-25,223.25,223.99000549316406,214.74000549316406,215.3699951171875,209.20870971679688,97743000,-0.0271918246860956,0.24500623409568725,0.12764515797168927,0.12906062122413894,Low Volatility,0.5267646421345111,High Trend,-5.8477783203125,-7.6157684326171875,True
2020-02-26,216.7100067138672,220.27999877929688,214.89999389648438,216.47999572753906,210.2869415283203,79537700,0.005153857183971988,0.2356873011809493,0.36307937849813504,0.13291888366924406,High Volatility,0.5639628567310692,High Trend,0.0,-7.6157684326171875,False
2020-02-27,210.89999389648438,216.4199981689453,205.5,205.63999938964844,199.757080078125,121822600,-0.05007377716213157,0.28493755837960355,0.6199286580154459,0.18408555903810192,High Volatility,0.6460557888014778,High Trend,0.0,-7.6157684326171875,False
2020-02-28,198.63999938964844,207.1699981689453,198.1699981689453,205.8000030517578,199.91249084472656,148173700,0.0007779987900342622,0.28476559270319124,0.5708097693659844,0.20532193768589738,High Volatility,0.7210208780381087,High Trend,0.0,-7.6157684326171875,False
